parent_id,id,uuid,title
13410,13411,9316ce1b-a44c-44fa-bc5e-bdf2ca1514ce,Ecological Applications
13603,13608,ea9908ea-20cf-4239-b9dc-4611272471d6,Optical Physics
13362,13368,7112132e-ec8b-4897-819b-f92392f0d1d2,Other Built Environment and Design
13551,13554,3defab81-a94f-412b-b981-db5751526478,Geology
13551,13555,709f661a-8226-4d47-b435-b3ccda2a3df3,Geophysics
13385,13395,a6787e09-6095-4175-bceb-7e64abab26dd,Natural Hazards
13493,13497,48c7a960-6587-4d61-b04b-f57ea65bff58,Religion and Ethics
13385,13391,893091f8-e9a0-4c35-a900-9e02446ed4ed,Environmental and Natural Resource Evaluation
13369,13373,3cdfe7c4-8132-4a6a-966a-7012f71559ae,Justice and The Law
13594,13598,b396486a-013f-4cbc-8d8f-40940bf1c75c,Medicinal and Biomolecular Chemistry
13551,13553,784fb26b-ccf0-45e8-8062-731bb86e3497,Geochemistry
13571,13573,78960860-1251-47d8-b83f-5a7e576f67c2,Teaching and Instruction
13544,13547,6aada333-840c-49a7-9efb-d65fc8e0f75b,Information Services
13376,13381,bb4933dc-2508-4ad9-a529-94926a18e4cf,Forestry Sciences
13611,13614,417fe56b-c340-4068-aea6-be5b8c43128a,Computer Software
13376,13382,991861da-33dc-4eef-8feb-792d119e1e1d,Horticultural Production
13594,13597,c9029bd2-a3d5-4b69-aceb-772d3c86188a,Macromolecular and Materials Chemistry
13611,13615,94594f6c-78f1-4ded-8fb1-5ea4f186d22e,Data Format
13661,13666,4ad6c3ce-da13-4f0f-bb83-d5caef1fe0eb,Other Transport
13630,13644,a9b4dda0-00e3-4bd6-b9d2-2bff3aa23b67,Resources Engineering and Extractive Metallurgy
13620,13628,cefc5503-6b28-48d5-ae3e-4ee52c5ff6da,Environmentally Sustainable Energy Activities
13667,13672,15a0b167-2b86-40cf-b60b-c2809b8113a3,Measurement Standards and Calibration Services
13474,13476,90fe2524-2f0f-462c-ac09-d7ad23b8f07b,Cardiorespiratory Medicine and Haematology
13652,13660,9c2bd658-1613-4e2e-ad93-f3c2cde9d09b,Other Technology
13517,13519,b6473da5-e145-4375-a8b5-8e97dae311e9,Cultural Studies
13369,13372,9a609cc2-4c69-49cc-97bb-301f4cbbcc49,International Relations
13603,13610,d8d6b816-5667-45c4-9eaa-c363c9bcddb6,Other Physical Sciences
13474,13475,ff734927-03ef-4f78-a2e6-e71ce278b24a,Medical Biochemistry and Metabolomics
13401,13409,73923698-f8b8-40ef-828c-c88408638a3a,Other Plant Production and Plant Primary Products
13620,13621,c554199c-c93b-4c89-9827-2e8b45a8f876,Energy Exploration
13457,13461,d892e7a5-dc8b-42a5-baa8-b3dea56ca6f5,Water and Waste Services
13369,13374,317bd4b0-3df6-47a3-ab36-73a1e0020017,Work and Institutional Development
13566,13567,200ce444-5e8c-461d-8e98-785baca5b89a,Economic Theory
13524,13540,88b62aba-91f5-4d92-94ae-594935c7ed59,Computer Hardware and Electronic Equipment
13376,13378,9a0ac13b-e666-4239-a99d-d05be7b0f2e8,Animal Production
13524,13543,8d4d3c5f-86d6-45f6-93ca-bc177fa0c17e,Other Manufacturing
13667,13669,91f9966d-efbb-4763-96b6-8fbe9a98e4e3,Microeconomics
13620,13624,29ebe0cf-3d3e-4d6e-86b9-1b011b967f05,Energy Transformation
13517,13520,425d908c-3821-4118-9795-58fe2498c21a,Language Studies
13571,13577,5a60fc09-5295-42b6-a34c-fc9138c89cd4,Other Education and Training
13440,13442,e88f8c5e-41ce-492f-a187-390db3b84289,Fisheries - Wild Caught
13578,13583,848265c1-e9ee-48f4-8307-0508876ede6c,Microbiology
13611,13617,ee038a84-97d3-47ca-b21b-0f2a297bbed1,Information Systems
13667,13668,7fd20102-98e8-4af8-a6f1-fcbfa95ce8f7,Macroeconomics
13385,13394,bebd0945-805d-4750-a817-970df8241c4e,Land and Water Management
13594,13600,e156a33b-f7c2-4fba-a7fb-ec44bbc8e65e,Physical Chemistry (incl. Structural)
13500,13507,44d9ac5b-c81f-460a-9dce-b5693b6d5913,Transportation and Freight Services
13431,13432,aef014f9-9e99-4943-ac39-8240d15e07e5,Pure Mathematics
13652,13658,37e09d5e-a4ea-4287-acd4-7e7e253baac3,Computer Hardware
13453,13456,a7e69e64-6fb6-4485-a4ba-1e07f464593a,Other Psychology and Cognitive Sciences
13524,13539,4da341a2-9ccb-42b4-ae3d-c27f973c1ab5,Instrumentation
13571,13572,11fd2b39-425c-460f-83d7-c14c545b95f3,Learner and Learning
13630,13637,2adf1751-57a6-452b-ba07-155f00c82a46,Environmental Engineering
13415,13416,9a6bd388-cddd-4b41-8d90-6abb8937e515,"Clinical Health (organs, Diseases and Abnormal Conditions)"
13652,13654,9b618812-9f16-4cd4-952e-fd86930b3135,Environmental Biotechnology
13448,13449,870ffd2c-b5c5-4bb8-a62b-ed8ecefe85a9,Archaeology
13360,13361,c5590951-ed5f-4cb6-9f8b-dc9c260ac72d,Defence
13647,13650,14219496-7227-4bbc-ab03-b1c2faa67d86,Specialist Studies in Education
13500,13502,0d630d2a-a552-4f2d-8d44-5fdffc58b9f7,"Banking, Finance and Investment"
13474,13483,fcfed4b0-bb90-483e-8e33-ea05c5ba9e7e,Neurosciences
13427,13430,ec2dd4f8-047b-4516-bcb7-008c0e63fb76,Other Law and Legal Studies
13620,13625,70d7a896-6d70-409a-ab17-bc9906f7f7c7,Renewable Energy
13474,13492,9e20c715-fe72-4520-82ac-0781d3e16341,Other Medical and Health Sciences
13474,13487,3e9cd9be-fddf-4198-8b7a-60d1bdd74047,Ophthalmology and Optometry
13453,13455,58a03e34-4a7e-4f43-8b16-50093a13615b,Cognitive Sciences
13578,13587,720076e9-5b32-40d0-8d00-8f2290dd24bd,Other Biological Sciences
13551,13556,30c57426-0d1a-4429-96dc-ad0ec789fe3b,Oceanography
13524,13528,9c74d047-68d0-48d1-9812-c925885407bb,"Leather Products, Fibre Processing and Textiles"
13594,13595,a07503c2-4479-4f56-bf09-c426c90199c3,Analytical Chemistry
13594,13599,f51405a2-5fda-4dec-b86f-1a830314309c,Organic Chemistry
13630,13640,652cfeac-64d7-49e2-a04a-18ee3825d610,Manufacturing Engineering
13385,13400,61699b3d-c580-45d2-8b4d-cacf4961716d,Other Environment
13500,13508,764912b1-a6c4-46b1-a068-25a4205fae21,"Other Commerce, Management, Tourism and Services"
13524,13525,895c6ad0-01af-428c-bab7-ce5b3cbc45c6,Processed Food Products and Beverages (excl. Dairy Products)
13509,13516,92c057dc-62e5-4c15-a245-6f426102f7b3,Other Construction
13611,13616,179ee366-6577-4307-85e7-ce0fbbf25f69,Distributed Computing
13661,13665,c2d19477-a207-4f56-ac36-5e532531bafd,Environmentally Sustainable Transport
13385,13397,c65099a6-5681-4ddd-9f2e-7f5bad82e74b,Rehabilitation of Degraded Environments
13661,13663,748dc9e6-d84d-4dbb-a0e1-fc3656570d18,Water Transport
13544,13545,c175c559-5d36-4848-9a2b-08b3aff5935a,Communication Networks and Services
13652,13659,f879658e-fbcc-4a06-b859-eb26f618d08c,Nanotechnology
13464,13466,735f4e58-f163-4b42-b386-6aa7f6b781b1,Criminology
13401,13408,a252f367-578e-4fbb-af28-cdf7f223d6e8,Environmentally Sustainable Plant Production
13524,13526,4be83458-2da4-45ae-ade7-2d297d6c5e19,Dairy Products
13630,13646,9cba963b-413f-4b71-ad1d-ed61e27fa40d,Other Engineering
13362,13366,cdb86887-013f-4a96-8d92-3c2d75d1c679,Engineering Design
13385,13387,a0115220-2b5d-4163-8f29-97f4e76ec1ca,Atmosphere and Weather
13667,13671,762647d1-f274-492e-8ac0-d53a2e10f0ee,Management and Productivity
13474,13485,d2b387db-8b10-4d20-bec0-a8455330138b,Nutrition and Dietetics
13594,13596,c919ff0b-1d9e-44e9-9221-7087ca2178f8,Inorganic Chemistry
13431,13435,dee66339-9d91-4bb2-9e25-79884cf58acb,Statistics
13578,13585,19c37bc6-b959-4828-9860-4a21fb83605f,Plant Biology
13647,13649,fb4d255a-647a-4c84-8e1a-2930f684df40,Curriculum and Pedagogy
13385,13392,bf19e6f2-9ce5-4fcd-831e-67be3d25c1e6,"Environmental Policy, Legislation and Standards"
13401,13402,99c9146f-4a13-4527-9216-3734c9910450,Forestry
13594,13602,9efa9dca-2795-4a7d-9564-b9144a4b59ce,Other Chemical Sciences
13493,13496,c892b310-6db3-4a47-877e-a1ec22a6f920,Heritage
13385,13386,314a3fc2-4f4a-4cf8-998f-6177f88f0652,Air Quality
13603,13605,0608e9c4-5a64-42da-a219-ab89d1d9043c,"Atomic, Molecular, Nuclear, Particle and Plasma Physics"
13464,13467,435deed2-7038-481c-ad09-677bcbd3be2f,Demography
13578,13580,23064525-139e-4892-8b4c-855f20552b94,Ecology
13500,13506,22b13daa-ae41-4343-bd51-bd28da30f877,Tourism
13431,13434,c18c4cea-c0f3-4697-a9d9-992a6abc05fc,Numerical and Computational Mathematics
13385,13399,a04869a0-25df-4630-88cc-af386499ed9a,Soils
13464,13472,732fff6f-7a09-401a-8722-9499df862e31,Sociology
13611,13618,c5bfcdba-627b-464e-acab-d8e67dd08943,Library and Information Studies
13440,13441,78559c76-75ef-4f66-92b6-140ccdda445b,Fisheries - Aquaculture
13427,13428,ab7a943a-3ffe-480f-a064-736546627040,Law
13474,13478,d6ae36b7-214f-49d0-abc2-5d1a94e9b074,Complementary and Alternative Medicine
13376,13383,918b47e2-dce1-4c8f-b7e7-81eda1bf8ec8,Veterinary Sciences
13509,13512,b3b25c7b-7c64-4990-b706-740a9e483954,Construction Materials Performance and Processes
13588,13592,3547febe-dfd1-4837-968c-72ba83a8fd2b,Religion and Religious Studies
13474,13477,77d33320-2d61-4d7b-bb96-011ca33a9b53,Clinical Sciences
13630,13645,efdd7237-c825-4b72-9613-29357c3b9067,Interdisciplinary Engineering
13652,13653,2d01e162-cb71-461c-964f-05aeb94fd866,Agricultural Biotechnology
13493,13495,c3a1bc97-9ab9-44b6-8564-18b1ac3b8a86,Communication
13588,13590,f10dae5c-0a11-4762-a5a8-f187a33662e6,History and Philosophy of Specific Fields
13578,13581,c21f51b6-6ff9-40f8-9af7-a4e608432a5d,Evolutionary Biology
13474,13491,5016ab16-4115-46bf-bcdf-67ce9bd07f1f,Public Health and Health Services
13448,13451,7e18c037-de2d-4ca3-81d6-bfd771716a81,Historical Studies
13571,13575,374ab2ad-c20b-45aa-865c-e9c6137df5be,School/institution
13559,13564,05c05980-c8ce-4e9c-bf6b-834529ad41dd,Visual Arts and Crafts
13440,13443,3d93972c-3409-45ab-a235-820798c3774b,Livestock Raising
13620,13626,2e3e3332-3979-41f5-80d9-919efa5b66a1,"Energy Storage, Distribution and Supply"
13544,13550,af8d66d0-c57b-42d5-bc58-5d926dc6b0ec,Other Information and Communication Services
13415,13420,514efb7b-78db-47ef-b517-dd164d25774e,Other Health
13410,13414,0ab05478-d3ca-4420-9cb9-681228b330fb,Other Environmental Sciences
13464,13469,95bb8255-0444-4c8b-815f-e1ecc5930d38,Policy and Administration
13630,13638,7874a730-927f-448f-a332-7260a52cd084,Food Sciences
13588,13593,019ade33-7f0a-4dc6-8ae9-8e2c8ee35223,Other Philosophy and Religious Studies
13457,13458,91ca336b-769a-45c8-9040-9cf89ea7d606,Financial Services
13376,13377,ee938f97-a5e5-4f5c-bd39-4245f82924ee,"Agriculture, Land and Farm Management"
13474,13490,90a9041c-a152-4366-85a0-5e4114e5777a,Medical Physiology
13517,13523,b257b52b-3c18-47c3-996d-f497a08a2584,"Other Language, Communication and Culture"
13401,13404,8fd321d1-e792-4bcc-9ea9-a74dd9ac2d4a,Industrial Crops
13524,13542,fdbaff3b-e86c-497d-bb57-216869786308,Environmentally Sustainable Manufacturing
13401,13403,18f27350-c919-48ad-a900-f6bcc4574422,Horticultural Crops
13440,13444,713d6fe7-99dd-4ffa-841f-a2c2cf55ed93,"Pasture, Browse and Fodder Crops"
13630,13635,37034e3b-2586-4ccf-80b3-3135045aad0a,Civil Engineering
13474,13479,23249898-6000-44ba-a846-1861bb4ed12d,Dentistry
13464,13468,45368b16-8982-4977-97c8-e2424aa248ec,Human Geography
13376,13379,c5d17bca-a1e7-438b-a0ca-d7316bb80da3,Crop and Pasture Production
13376,13384,2cc4fa77-e231-4eb8-af7d-de47f9b945a2,Other Agricultural and Veterinary Sciences
13517,13518,ef4c3bf2-8897-4ed2-8993-503238468923,Communication and Media Studies
13524,13530,92eb9bf0-6d92-4d17-a9d5-8f502d9530e2,Industrial Chemicals and Related Products
13474,13484,bc6eb668-26ab-423f-99e5-2cbb391386b6,Nursing
13611,13612,bb0332d9-21ae-4e23-9d56-574ded531aeb,Artificial Intelligence and Image Processing
13415,13417,dbca4ff0-55cd-4a1b-ad7a-4137a3589526,Health and Support Services
13474,13486,09dcda55-b0d9-4aa0-bc97-b8f35975ca4e,Oncology and Carcinogenesis
13500,13504,18451edd-e114-44f8-acba-c8c791c03bfb,Commercial Services
13647,13648,932a2d41-3deb-4128-918a-96e01e741a57,Education Systems
13551,13558,8f27eb44-0a63-4496-ba6d-e3cbf4efa6c7,Other Earth Sciences
,13603,b79e0263-727e-45df-8477-560a0de6f6e4,Physical Sciences
,13611,be2e6605-5a89-4da3-ae42-16dcd34b6261,Information and Computing Sciences
,13544,59e917ac-08bf-43e3-99a4-ca69d32fca71,Information and Communication Services
,13594,91cad81e-dc71-4485-8bae-d0380e908ba8,Chemical Sciences
,13410,de97ed9c-1a6b-4bf0-83d4-fb88c9b943c9,Environmental Sciences
,13509,917fb943-eaae-45ca-8de6-7a82478cdb5f,Construction
,13421,c5dc7b14-1219-441c-9542-506ac2d8b958,Mineral Resources (excl. Energy Resources)
,13524,2027315a-6918-40f8-b36a-59d83a057828,Manufacturing
,13661,3f2ba282-0b61-4fc7-9d0e-80a26ab4609d,Transport
,13362,4d73a546-8f90-40a5-86e4-8427074bb08e,Built Environment and Design
,13630,3bfc84c8-e538-4f4a-a9cc-1c6bf852f76f,Engineering
,13360,8c941966-5481-47be-9711-24e1837d2a5b,Defence
,13620,91800565-d67c-42e5-b6e1-4a2ca6432465,Energy
,13652,557ad0b0-c541-4820-8267-417be6a1acc1,Technology
,13566,305f48bd-3075-4caa-8333-bf5ed1fd3f20,Economics
,13667,66c9fa8c-7be8-4acd-b17c-bc08f4b636e6,Economic Framework
,13559,c831d753-6ac2-4f58-84dc-fa4c68823b06,Studies in Creative Arts and Writing
,13401,0d03bc2f-4ab2-4bf3-944a-628d4e30d25d,Plant Production and Plant Primary Products
,13376,ca5840f8-7e01-44de-9a7c-3a417f4206cb,Agricultural and Veterinary Sciences
,13415,7bb11509-e6d0-4aa1-9444-4ecaf3f6ae55,Health
,13453,c70cb7d7-a026-496f-9130-50449701a1ab,Psychology and Cognitive Sciences
,13369,a46aa16d-19f5-47e1-9dfb-11724e20eaf0,"Law, Politics and Community Services"
,13438,36818d5d-912b-4fe1-9e62-6691856fdfbd,Expanding Knowledge
,13588,11498510-3179-419d-86de-d7d7198551bd,Philosophy and Religious Studies
,13448,e599139e-7399-461b-a6ad-1472219fed38,History and Archaeology
,13440,d5ec17bc-f2af-4561-a9db-44d621c4b3bd,Animal Production and Animal Primary Products
,13464,dff7ba5d-7aaa-4cfc-8f33-ef3018419249,Studies in Human Society
,13474,c0b0386f-e5d7-4a71-a819-49a73a47cdf1,Medical and Health Sciences
,13385,2f4f7ac4-46a5-4a86-ab12-823466dbe46f,Environment
,13647,d5430ba8-087b-48be-b7c0-7ff15ab6fa8f,Education
,13431,6c4675b5-095e-4f17-99cd-45beac4c11aa,Mathematical Sciences
,13500,01003aac-afbe-4e1c-b246-19cdb88e123c,"Commerce, Management, Tourism and Services"
,13578,c699d470-0b16-4068-9ea2-1522b4ffb332,Biological Sciences
,13493,a4a2486d-4276-493a-b71c-39b3cbd147a7,Cultural Understanding
,13517,42edb7b2-a832-4f57-bdd2-0a3d0c7efab9,"Language, Communication and Culture"
,13427,31ebf93d-c03f-4d82-9f1b-49359bbedb19,Law and Legal Studies
,13551,dd4dbaaf-0610-4d8d-8b07-e1eeb32dd11c,Earth Sciences
,13571,c03309e8-21ae-4d41-8d22-c3662e3cfd20,Education and Training
,13457,fc93b5f2-805d-4fbb-87f4-318582faa70f,Commercial Services and Tourism
